trip_distance,passenger_count,pickup_hour,is_weekend,fare_amount
1.2,1,8,0,8.4
2.5,1,9,0,12.7
3.1,2,18,0,16.3
0.8,1,7,0,6.1
5.6,3,21,1,27.8
7.2,2,22,1,35.4
1.7,1,12,0,9.8
4.3,1,15,0,21.6
2.2,2,10,0,11.9
6.8,4,23,1,34.1
3.8,1,14,0,18.2
9.5,2,20,1,45.7
1.0,1,6,0,6.9
2.9,1,11,0,14.5
4.9,3,19,0,24.3
8.1,2,0,1,40.2
3.4,1,13,0,17.1
5.1,2,17,0,25.0
6.0,1,16,1,29.6
2.0,1,8,0,10.8
4.0,2,18,0,20.5
7.8,3,21,1,38.6
1.5,1,9,0,8.9
3.0,2,12,0,15.4
5.4,1,15,1,27.0
2.7,1,10,0,13.8
6.5,2,19,1,32.4
8.9,3,22,1,43.5
1.9,1,7,0,10.1
4.6,2,14,0,22.8
2.8,1,9,0,13.6
3.6,2,13,0,17.9
5.8,2,18,1,28.9
7.4,1,21,1,36.5
1.6,1,7,0,9.2
6.2,3,20,1,31.1
4.4,1,16,0,21.9
8.6,2,23,1,42.0
2.1,1,10,0,11.2
5.2,2,17,0,25.7
